Demand,Hour,Day of week,Specific hour,datetime,temp,windspeed,visibility,conditions
120,45,Tuesday,21,2022-01-04T21:00:00,2.6,18.3,40.0,Partially cloudy
82,46,Tuesday,22,2022-01-04T22:00:00,3.1,16.5,40.0,Partially cloudy
41,47,Tuesday,23,2022-01-04T23:00:00,3.1,16.2,40.0,Partially cloudy
100,48,Wednesday,0,2022-01-05T00:00:00,2.7,16.9,40.0,Partially cloudy
77,49,Wednesday,1,2022-01-05T01:00:00,2.1,18.0,35.0,Clear
52,50,Wednesday,2,2022-01-05T02:00:00,1.9,19.4,35.0,Clear
20,51,Wednesday,3,2022-01-05T03:00:00,2.0,22.0,35.0,Clear
10,52,Wednesday,4,2022-01-05T04:00:00,1.7,22.3,40.0,Clear
29,53,Wednesday,5,2022-01-05T05:00:00,1.9,27.0,40.0,Clear
64,54,Wednesday,6,2022-01-05T06:00:00,2.1,29.1,40.0,Partially cloudy
94,55,Wednesday,7,2022-01-05T07:00:00,2.2,30.2,35.0,Partially cloudy
60,56,Wednesday,8,2022-01-05T08:00:00,2.3,33.8,35.0,Partially cloudy
80,57,Wednesday,9,2022-01-05T09:00:00,2.8,36.7,20.1,"Rain, Partially cloudy"
109,58,Wednesday,10,2022-01-05T10:00:00,3.1,34.5,15.1,"Rain, Partially cloudy"
120,59,Wednesday,11,2022-01-05T11:00:00,3.1,35.6,12.2,"Rain, Overcast"
109,60,Wednesday,12,2022-01-05T12:00:00,2.6,31.6,18.1,"Rain, Partially cloudy"
99,61,Wednesday,13,2022-01-05T13:00:00,3.5,25.9,15.1,"Rain, Partially cloudy"
66,62,Wednesday,14,2022-01-05T14:00:00,5.1,21.6,30.1,"Rain, Partially cloudy"
40,63,Wednesday,15,2022-01-05T15:00:00,5.8,28.4,30.0,"Rain, Partially cloudy"
223,64,Wednesday,16,2022-01-05T16:00:00,6.1,28.0,39.9,"Rain, Partially cloudy"
250,65,Wednesday,17,2022-01-05T17:00:00,5.3,30.5,39.9,"Rain, Partially cloudy"
260,66,Wednesday,18,2022-01-05T18:00:00,4.9,26.2,25.0,"Rain, Partially cloudy"
250,67,Wednesday,19,2022-01-05T19:00:00,5.1,31.3,30.0,"Rain, Partially cloudy"
223,68,Wednesday,20,2022-01-05T20:00:00,4.8,27.0,18.0,"Rain, Partially cloudy"
183,69,Wednesday,21,2022-01-05T21:00:00,4.0,23.4,22.1,"Rain, Partially cloudy"
140,70,Wednesday,22,2022-01-05T22:00:00,4.1,21.6,16.1,"Rain, Partially cloudy"
79,71,Wednesday,23,2022-01-05T23:00:00,3.8,18.0,25.0,"Rain, Partially cloudy"
79,72,Thursday,0,2022-01-06T00:00:00,4.0,22.6,8.0,"Rain, Partially cloudy"
61,73,Thursday,1,2022-01-06T01:00:00,2.8,17.2,25.0,"Rain, Partially cloudy"
25,74,Thursday,2,2022-01-06T02:00:00,1.6,9.4,25.0,"Snow, Rain"
10,75,Thursday,3,2022-01-06T03:00:00,-0.8,7.9,25.1,Clear
33,76,Thursday,4,2022-01-06T04:00:00,-0.6,3.6,25.1,Clear
69,77,Thursday,5,2022-01-06T05:00:00,-1.3,6.8,25.1,Clear
14,78,Thursday,6,2022-01-06T06:00:00,0.2,9.0,25.0,Clear
36,79,Thursday,7,2022-01-06T07:00:00,-1.3,8.3,40.0,Clear
78,80,Thursday,8,2022-01-06T08:00:00,-1.6,8.6,40.0,Clear
137,81,Thursday,9,2022-01-06T09:00:00,-1.4,11.9,40.0,Clear
200,82,Thursday,10,2022-01-06T10:00:00,0.2,11.1,30.0,Clear
240,83,Thursday,11,2022-01-06T11:00:00,1.7,4.3,30.1,Clear
241,84,Thursday,12,2022-01-06T12:00:00,3.5,7.9,30.0,Clear
199,85,Thursday,13,2022-01-06T13:00:00,4.3,10.1,35.0,Clear
150,86,Thursday,14,2022-01-06T14:00:00,5.1,12.6,30.0,Clear
108,87,Thursday,15,2022-01-06T15:00:00,4.6,16.2,30.0,Clear
288,88,Thursday,16,2022-01-06T16:00:00,4.1,9.7,30.0,Clear
300,89,Thursday,17,2022-01-06T17:00:00,2.2,10.1,28.0,Clear
288,90,Thursday,18,2022-01-06T18:00:00,1.5,10.5,28.0,Clear
253,91,Thursday,19,2022-01-06T19:00:00,1.3,10.5,25.0,Clear
203,92,Thursday,20,2022-01-06T20:00:00,1.2,11.9,25.0,Clear
150,93,Thursday,21,2022-01-06T21:00:00,2.0,13.3,25.0,Overcast
102,94,Thursday,22,2022-01-06T22:00:00,2.3,14.8,23.0,Overcast
51,95,Thursday,23,2022-01-06T23:00:00,2.0,17.3,15.0,Overcast
60,96,Friday,0,2022-01-07T00:00:00,2.1,15.8,15.0,Overcast
46,97,Friday,1,2022-01-07T01:00:00,1.8,15.1,17.0,Overcast
20,98,Friday,2,2022-01-07T02:00:00,1.9,15.1,17.0,Overcast
10,99,Friday,3,2022-01-07T03:00:00,2.1,17.7,20.0,Overcast
26,100,Friday,4,2022-01-07T04:00:00,2.3,18.4,22.0,"Rain, Overcast"
52,101,Friday,5,2022-01-07T05:00:00,1.6,20.5,11.0,"Snow, Rain, Partially cloudy"
15,102,Friday,6,2022-01-07T06:00:00,1.8,20.9,17.0,"Snow, Rain, Partially cloudy"
39,103,Friday,7,2022-01-07T07:00:00,1.6,19.1,12.0,"Snow, Rain, Partially cloudy"
63,104,Friday,8,2022-01-07T08:00:00,2.0,20.5,8.0,"Rain, Partially cloudy"
106,105,Friday,9,2022-01-07T09:00:00,2.3,19.4,11.0,"Rain, Partially cloudy"
145,106,Friday,10,2022-01-07T10:00:00,2.3,20.9,10.0,"Rain, Partially cloudy"
161,107,Friday,11,2022-01-07T11:00:00,2.8,22.7,10.0,"Rain, Partially cloudy"
181,108,Friday,12,2022-01-07T12:00:00,3.3,21.9,10.0,Partially cloudy
146,109,Friday,13,2022-01-07T13:00:00,3.8,22.3,10.0,Partially cloudy
96,110,Friday,14,2022-01-07T14:00:00,4.6,25.1,18.0,Partially cloudy
53,111,Friday,15,2022-01-07T15:00:00,4.6,23.4,15.0,"Rain, Partially cloudy"
340,112,Friday,16,2022-01-07T16:00:00,3.4,28.4,7.1,"Rain, Overcast"
324,113,Friday,17,2022-01-07T17:00:00,2.7,13.0,30.0,"Rain, Partially cloudy"
280,114,Friday,18,2022-01-07T18:00:00,1.9,8.0,25.1,Partially cloudy
219,115,Friday,19,2022-01-07T19:00:00,2.6,9.4,25.0,Clear
156,116,Friday,20,2022-01-07T20:00:00,3.1,13.0,25.0,Partially cloudy
100,117,Friday,21,2022-01-07T21:00:00,3.0,17.3,25.0,Partially cloudy
58,118,Friday,22,2022-01-07T22:00:00,1.9,14.4,25.0,Partially cloudy
25,119,Friday,23,2022-01-07T23:00:00,1.6,14.4,25.1,Overcast
60,120,Saturday,0,2022-01-08T00:00:00,1.2,16.9,25.1,Overcast
47,121,Saturday,1,2022-01-08T01:00:00,1.1,14.4,25.0,Clear
20,122,Saturday,2,2022-01-08T02:00:00,1.0,16.6,25.0,Overcast
10,123,Saturday,3,2022-01-08T03:00:00,1.1,14.4,25.0,Overcast
27,124,Saturday,4,2022-01-08T04:00:00,0.9,13.3,25.0,Overcast
52,125,Saturday,5,2022-01-08T05:00:00,0.6,11.5,18.0,Partially cloudy
187,126,Saturday,6,2022-01-08T06:00:00,0.7,13.3,9.0,Partially cloudy
241,127,Saturday,7,2022-01-08T07:00:00,1.2,19.1,10.0,Partially cloudy
186,128,Saturday,8,2022-01-08T08:00:00,0.9,13.0,10.0,Partially cloudy
86,129,Saturday,9,2022-01-08T09:00:00,0.4,9.0,10.0,Partially cloudy
24,130,Saturday,10,2022-01-08T10:00:00,0.7,16.6,10.0,Clear
4,131,Saturday,11,2022-01-08T11:00:00,1.7,16.9,15.0,Partially cloudy
0,132,Saturday,12,2022-01-08T12:00:00,2.8,18.7,20.0,Partially cloudy
0,133,Saturday,13,2022-01-08T13:00:00,3.5,17.6,25.0,Partially cloudy
0,134,Saturday,14,2022-01-08T14:00:00,3.6,20.9,25.0,Overcast
0,135,Saturday,15,2022-01-08T15:00:00,2.9,29.8,15.1,Overcast
92,136,Saturday,16,2022-01-08T16:00:00,2.5,22.0,15.0,Partially cloudy
44,137,Saturday,17,2022-01-08T17:00:00,2.5,21.2,18.0,Partially cloudy
15,138,Saturday,18,2022-01-08T18:00:00,2.8,23.7,25.0,Partially cloudy
5,139,Saturday,19,2022-01-08T19:00:00,2.8,30.9,39.9,"Rain, Partially cloudy"
2,140,Saturday,20,2022-01-08T20:00:00,2.1,27.7,25.0,"Rain, Partially cloudy"
0,141,Saturday,21,2022-01-08T21:00:00,2.3,24.1,25.0,"Rain, Partially cloudy"
0,142,Saturday,22,2022-01-08T22:00:00,2.8,24.8,39.8,Overcast
0,143,Saturday,23,2022-01-08T23:00:00,3.3,25.2,45.0,"Rain, Overcast"
69,144,Sunday,0,2022-01-09T00:00:00,3.6,26.6,39.9,Overcast
54,145,Sunday,1,2022-01-09T01:00:00,3.6,25.5,40.1,"Rain, Overcast"
23,146,Sunday,2,2022-01-09T02:00:00,3.6,27.7,30.0,Overcast
11,147,Sunday,3,2022-01-09T03:00:00,3.8,22.7,25.0,"Rain, Overcast"
30,148,Sunday,4,2022-01-09T04:00:00,3.1,20.9,25.0,"Rain, Overcast"
61,149,Sunday,5,2022-01-09T05:00:00,3.0,14.4,15.0,"Rain, Overcast"
12,150,Sunday,6,2022-01-09T06:00:00,2.6,12.9,15.0,"Rain, Overcast"
24,151,Sunday,7,2022-01-09T07:00:00,2.2,15.1,13.0,"Rain, Overcast"
52,152,Sunday,8,2022-01-09T08:00:00,2.2,11.2,13.0,"Rain, Overcast"
95,153,Sunday,9,2022-01-09T09:00:00,2.4,10.8,9.0,"Rain, Overcast"
147,154,Sunday,10,2022-01-09T10:00:00,4.5,16.9,9.0,"Rain, Overcast"
190,155,Sunday,11,2022-01-09T11:00:00,5.5,25.5,13.0,"Rain, Overcast"
208,156,Sunday,12,2022-01-09T12:00:00,5.6,28.0,18.0,"Rain, Overcast"
238,157,Sunday,13,2022-01-09T13:00:00,5.5,24.1,22.9,"Rain, Overcast"
202,158,Sunday,14,2022-01-09T14:00:00,5.4,28.7,20.0,"Rain, Overcast"
183,159,Sunday,15,2022-01-09T15:00:00,5.6,21.9,25.0,Overcast
300,160,Sunday,16,2022-01-09T16:00:00,5.3,23.0,25.1,"Rain, Overcast"
358,161,Sunday,17,2022-01-09T17:00:00,4.9,17.3,25.0,"Rain, Overcast"
397,162,Sunday,18,2022-01-09T18:00:00,4.2,17.3,30.0,"Rain, Overcast"
411,163,Sunday,19,2022-01-09T19:00:00,4.1,15.5,25.0,"Rain, Overcast"
397,164,Sunday,20,2022-01-09T20:00:00,3.9,16.2,25.0,"Rain, Overcast"
357,165,Sunday,21,2022-01-09T21:00:00,2.9,12.2,25.0,Overcast
301,166,Sunday,22,2022-01-09T22:00:00,3.4,14.0,25.0,Partially cloudy
189,167,Sunday,23,2022-01-09T23:00:00,3.1,11.2,25.0,Partially cloudy
100,168,Monday,0,2022-01-10T00:00:00,2.2,9.4,25.0,Partially cloudy
77,169,Monday,1,2022-01-10T01:00:00,2.7,10.1,24.9,"Rain, Partially cloudy"
52,170,Monday,2,2022-01-10T02:00:00,2.2,9.7,25.0,"Rain, Partially cloudy"
21,171,Monday,3,2022-01-10T03:00:00,1.7,7.9,25.0,Partially cloudy
10,172,Monday,4,2022-01-10T04:00:00,2.2,7.2,25.0,Overcast
29,173,Monday,5,2022-01-10T05:00:00,2.1,4.3,25.0,"Rain, Overcast"
65,174,Monday,6,2022-01-10T06:00:00,1.9,7.5,24.9,"Snow, Rain, Overcast"
93,175,Monday,7,2022-01-10T07:00:00,1.4,9.0,10.0,Overcast
51,176,Monday,8,2022-01-10T08:00:00,1.4,6.8,10.0,Overcast
91,177,Monday,9,2022-01-10T09:00:00,1.4,5.7,7.0,Overcast
141,178,Monday,10,2022-01-10T10:00:00,0.7,9.0,6.0,Overcast
184,179,Monday,11,2022-01-10T11:00:00,2.1,8.3,10.0,Overcast
201,180,Monday,12,2022-01-10T12:00:00,4.1,8.6,14.9,Partially cloudy
184,181,Monday,13,2022-01-10T13:00:00,5.8,8.3,24.9,Clear
156,182,Monday,14,2022-01-10T14:00:00,6.0,6.5,24.9,Clear
128,183,Monday,15,2022-01-10T15:00:00,6.6,6.8,24.9,Clear
241,184,Monday,16,2022-01-10T16:00:00,6.1,9.3,24.9,Clear
297,185,Monday,17,2022-01-10T17:00:00,4.1,5.7,19.9,Partially cloudy
280,186,Monday,18,2022-01-10T18:00:00,3.8,3.2,14.9,Rain
270,187,Monday,19,2022-01-10T19:00:00,2.6,3.6,2.0,Clear
240,188,Monday,20,2022-01-10T20:00:00,2.7,4.7,0.1,Clear
198,189,Monday,21,2022-01-10T21:00:00,2.2,2.5,1.0,Partially cloudy
151,190,Monday,22,2022-01-10T22:00:00,1.1,3.3,0.0,Clear
85,191,Monday,23,2022-01-10T23:00:00,0.4,5.4,1.0,Clear
105,192,Tuesday,0,2022-01-11T00:00:00,-0.3,4.3,1.0,Clear
81,193,Tuesday,1,2022-01-11T01:00:00,-1.3,3.2,0.0,Clear
54,194,Tuesday,2,2022-01-11T02:00:00,-1.9,3.6,0.0,Clear
20,195,Tuesday,3,2022-01-11T03:00:00,-2.3,2.5,0.0,Clear
11,196,Tuesday,4,2022-01-11T04:00:00,-2.4,4.0,0.0,Clear
30,197,Tuesday,5,2022-01-11T05:00:00,-2.6,3.6,0.0,Clear
67,198,Tuesday,6,2022-01-11T06:00:00,-2.3,5.8,0.0,Clear
98,199,Tuesday,7,2022-01-11T07:00:00,-2.1,5.4,0.0,Clear
45,200,Tuesday,8,2022-01-11T08:00:00,-1.6,7.9,0.0,Clear
83,201,Tuesday,9,2022-01-11T09:00:00,-1.8,9.4,0.0,Clear
128,202,Tuesday,10,2022-01-11T10:00:00,-1.6,9.7,0.0,Clear
165,203,Tuesday,11,2022-01-11T11:00:00,-1.1,9.7,1.0,Clear
180,204,Tuesday,12,2022-01-11T12:00:00,-0.7,9.0,1.0,Partially cloudy
182,205,Tuesday,13,2022-01-11T13:00:00,0.2,11.9,5.0,Overcast
154,206,Tuesday,14,2022-01-11T14:00:00,1.3,9.0,8.0,Overcast
128,207,Tuesday,15,2022-01-11T15:00:00,2.4,6.2,12.1,Overcast
253,208,Tuesday,16,2022-01-11T16:00:00,1.7,9.7,12.1,Overcast
264,209,Tuesday,17,2022-01-11T17:00:00,1.7,7.6,12.1,Overcast
230,210,Tuesday,18,2022-01-11T18:00:00,1.7,7.9,30.0,Overcast
201,211,Tuesday,19,2022-01-11T19:00:00,1.7,9.0,20.0,Overcast
163,212,Tuesday,20,2022-01-11T20:00:00,1.6,7.2,22.0,Overcast
120,213,Tuesday,21,2022-01-11T21:00:00,1.7,8.7,25.0,Overcast
81,214,Tuesday,22,2022-01-11T22:00:00,1.9,6.9,25.0,Overcast
40,215,Tuesday,23,2022-01-11T23:00:00,2.9,6.1,25.0,Overcast
100,216,Wednesday,0,2022-01-12T00:00:00,3.2,8.7,25.0,Overcast
77,217,Wednesday,1,2022-01-12T01:00:00,3.4,10.1,22.0,Overcast
52,218,Wednesday,2,2022-01-12T02:00:00,3.1,10.8,15.0,Overcast
20,219,Wednesday,3,2022-01-12T03:00:00,2.6,11.5,7.0,"Rain, Overcast"
10,220,Wednesday,4,2022-01-12T04:00:00,2.7,7.2,10.0,Overcast
29,221,Wednesday,5,2022-01-12T05:00:00,2.6,10.1,2.0,"Rain, Overcast"
64,222,Wednesday,6,2022-01-12T06:00:00,2.8,10.1,3.0,"Rain, Overcast"
93,223,Wednesday,7,2022-01-12T07:00:00,2.8,9.7,3.0,Partially cloudy
59,224,Wednesday,8,2022-01-12T08:00:00,2.7,7.9,3.0,Partially cloudy
99,225,Wednesday,9,2022-01-12T09:00:00,3.1,8.3,3.0,Partially cloudy
135,226,Wednesday,10,2022-01-12T10:00:00,3.3,10.1,3.0,Overcast
150,227,Wednesday,11,2022-01-12T11:00:00,3.7,9.7,3.0,Overcast
135,228,Wednesday,12,2022-01-12T12:00:00,4.3,9.7,5.0,Partially cloudy
109,229,Wednesday,13,2022-01-12T13:00:00,5.3,10.8,6.0,Partially cloudy
72,230,Wednesday,14,2022-01-12T14:00:00,6.3,13.3,12.0,Overcast
41,231,Wednesday,15,2022-01-12T15:00:00,5.6,16.9,12.0,Clear
224,232,Wednesday,16,2022-01-12T16:00:00,5.0,14.0,12.0,Clear
275,233,Wednesday,17,2022-01-12T17:00:00,4.6,12.3,10.0,Partially cloudy
261,234,Wednesday,18,2022-01-12T18:00:00,4.1,20.9,10.0,Partially cloudy
251,235,Wednesday,19,2022-01-12T19:00:00,4.1,20.1,10.0,Partially cloudy
224,236,Wednesday,20,2022-01-12T20:00:00,3.4,11.2,9.0,Partially cloudy
184,237,Wednesday,21,2022-01-12T21:00:00,3.4,11.2,9.0,Overcast
141,238,Wednesday,22,2022-01-12T22:00:00,4.0,18.7,10.0,Partially cloudy
80,239,Wednesday,23,2022-01-12T23:00:00,4.1,16.6,8.0,Clear
80,240,Thursday,0,2022-01-13T00:00:00,3.7,20.1,5.0,Clear
61,241,Thursday,1,2022-01-13T01:00:00,3.6,16.2,2.0,Clear
24,242,Thursday,2,2022-01-13T02:00:00,3.7,15.1,2.0,Clear
11,243,Thursday,3,2022-01-13T03:00:00,3.9,16.6,1.0,Clear
33,244,Thursday,4,2022-01-13T04:00:00,3.9,18.0,2.0,Clear
69,245,Thursday,5,2022-01-13T05:00:00,4.1,19.4,2.0,Clear
14,246,Thursday,6,2022-01-13T06:00:00,4.1,18.7,3.0,Clear
37,247,Thursday,7,2022-01-13T07:00:00,3.9,21.6,1.0,Clear
77,248,Thursday,8,2022-01-13T08:00:00,4.2,22.3,2.0,Clear
136,249,Thursday,9,2022-01-13T09:00:00,4.2,21.2,3.0,Clear
198,250,Thursday,10,2022-01-13T10:00:00,4.3,23.0,3.0,Partially cloudy
240,251,Thursday,11,2022-01-13T11:00:00,4.3,23.0,4.0,Partially cloudy
240,252,Thursday,12,2022-01-13T12:00:00,4.4,20.9,3.0,Clear
199,253,Thursday,13,2022-01-13T13:00:00,4.6,20.9,4.0,Clear
150,254,Thursday,14,2022-01-13T14:00:00,4.7,20.5,6.0,Clear
108,255,Thursday,15,2022-01-13T15:00:00,4.9,20.9,7.0,Clear
288,256,Thursday,16,2022-01-13T16:00:00,4.7,20.9,5.0,Clear
301,257,Thursday,17,2022-01-13T17:00:00,4.6,18.0,3.0,Clear
288,258,Thursday,18,2022-01-13T18:00:00,4.9,16.6,5.0,Clear
253,259,Thursday,19,2022-01-13T19:00:00,5.1,15.9,6.1,Clear
204,260,Thursday,20,2022-01-13T20:00:00,5.3,16.9,6.1,Partially cloudy
151,261,Thursday,21,2022-01-13T21:00:00,5.4,17.3,8.1,Overcast
102,262,Thursday,22,2022-01-13T22:00:00,5.7,14.4,10.1,Partially cloudy
51,263,Thursday,23,2022-01-13T23:00:00,5.9,15.1,12.1,Partially cloudy
60,264,Friday,0,2022-01-14T00:00:00,6.1,21.2,22.0,Partially cloudy
47,265,Friday,1,2022-01-14T01:00:00,5.9,22.6,25.0,Partially cloudy
21,266,Friday,2,2022-01-14T02:00:00,5.8,22.7,25.0,Partially cloudy
10,267,Friday,3,2022-01-14T03:00:00,5.6,22.3,30.0,Clear
26,268,Friday,4,2022-01-14T04:00:00,5.7,23.0,30.0,Clear
52,269,Friday,5,2022-01-14T05:00:00,5.8,21.6,30.0,Clear
16,270,Friday,6,2022-01-14T06:00:00,5.1,17.6,25.0,Clear
38,271,Friday,7,2022-01-14T07:00:00,5.7,20.5,13.1,Partially cloudy
79,272,Friday,8,2022-01-14T08:00:00,5.8,21.6,13.1,Partially cloudy
133,273,Friday,9,2022-01-14T09:00:00,6.0,19.8,10.1,Partially cloudy
181,274,Friday,10,2022-01-14T10:00:00,6.3,18.0,9.1,Overcast
200,275,Friday,11,2022-01-14T11:00:00,6.5,19.4,9.1,Overcast
181,276,Friday,12,2022-01-14T12:00:00,6.6,18.4,9.0,Partially cloudy
132,277,Friday,13,2022-01-14T13:00:00,6.6,19.8,4.0,"Rain, Partially cloudy"
87,278,Friday,14,2022-01-14T14:00:00,6.8,20.1,5.0,"Rain, Overcast"
54,279,Friday,15,2022-01-14T15:00:00,6.8,17.3,2.0,"Rain, Overcast"
375,280,Friday,16,2022-01-14T16:00:00,6.9,18.7,4.0,Overcast
324,281,Friday,17,2022-01-14T17:00:00,6.8,18.7,4.0,"Rain, Overcast"
280,282,Friday,18,2022-01-14T18:00:00,6.8,14.4,5.2,"Rain, Overcast"
220,283,Friday,19,2022-01-14T19:00:00,7.0,14.0,6.1,Rain
157,284,Friday,20,2022-01-14T20:00:00,6.8,10.4,18.0,Rain
100,285,Friday,21,2022-01-14T21:00:00,6.8,11.5,19.9,Rain
59,286,Friday,22,2022-01-14T22:00:00,5.8,5.4,19.9,Rain
25,287,Friday,23,2022-01-14T23:00:00,5.8,7.5,14.9,"Rain, Partially cloudy"
60,288,Saturday,0,2022-01-15T00:00:00,5.6,8.6,14.9,Partially cloudy
46,289,Saturday,1,2022-01-15T01:00:00,5.5,7.2,14.9,Partially cloudy
21,290,Saturday,2,2022-01-15T02:00:00,4.2,8.2,3.0,Partially cloudy
10,291,Saturday,3,2022-01-15T03:00:00,4.1,8.6,2.0,Partially cloudy
27,292,Saturday,4,2022-01-15T04:00:00,3.9,2.5,1.0,Partially cloudy
52,293,Saturday,5,2022-01-15T05:00:00,3.4,5.0,0.0,Partially cloudy
186,294,Saturday,6,2022-01-15T06:00:00,3.5,3.6,0.0,Clear
241,295,Saturday,7,2022-01-15T07:00:00,3.6,1.8,0.0,Clear
186,296,Saturday,8,2022-01-15T08:00:00,3.6,1.8,1.0,Clear
87,297,Saturday,9,2022-01-15T09:00:00,3.6,5.8,4.0,Clear
24,298,Saturday,10,2022-01-15T10:00:00,4.0,2.9,7.0,Clear
4,299,Saturday,11,2022-01-15T11:00:00,4.6,2.9,8.0,Clear
0,300,Saturday,12,2022-01-15T12:00:00,5.5,4.3,9.9,Clear
0,301,Saturday,13,2022-01-15T13:00:00,6.0,10.8,29.9,Clear
0,302,Saturday,14,2022-01-15T14:00:00,6.0,11.5,29.9,Partially cloudy
0,303,Saturday,15,2022-01-15T15:00:00,5.6,13.7,29.9,Partially cloudy
94,304,Saturday,16,2022-01-15T16:00:00,5.4,12.9,29.9,Partially cloudy
43,305,Saturday,17,2022-01-15T17:00:00,5.2,8.3,21.9,Overcast
15,306,Saturday,18,2022-01-15T18:00:00,5.1,10.8,19.9,Overcast
5,307,Saturday,19,2022-01-15T19:00:00,5.0,8.6,12.0,Overcast
1,308,Saturday,20,2022-01-15T20:00:00,4.6,11.5,12.0,Overcast
1,309,Saturday,21,2022-01-15T21:00:00,4.3,9.4,10.0,Overcast
0,310,Saturday,22,2022-01-15T22:00:00,4.1,13.3,8.0,Overcast
0,311,Saturday,23,2022-01-15T23:00:00,3.8,16.9,6.0,Overcast
70,312,Sunday,0,2022-01-16T00:00:00,3.1,12.2,5.0,Overcast
54,313,Sunday,1,2022-01-16T01:00:00,2.7,12.6,4.0,Overcast
23,314,Sunday,2,2022-01-16T02:00:00,2.4,10.1,1.0,Overcast
10,315,Sunday,3,2022-01-16T03:00:00,2.6,11.2,1.0,Overcast
30,316,Sunday,4,2022-01-16T04:00:00,2.6,16.6,5.0,Overcast
60,317,Sunday,5,2022-01-16T05:00:00,2.6,19.4,5.0,Overcast
11,318,Sunday,6,2022-01-16T06:00:00,2.3,19.8,5.0,Overcast
