Demand,Hour,Day of week,Specific hour
280.0,114,Friday,18
219.0,115,Friday,19
156.0,116,Friday,20
100.0,117,Friday,21
58.0,118,Friday,22
25.0,119,Friday,23
60.0,120,Saturday,0
47.0,121,Saturday,1
20.0,122,Saturday,2
10.0,123,Saturday,3
27.0,124,Saturday,4
52.0,125,Saturday,5
187.0,126,Saturday,6
241.0,127,Saturday,7
186.0,128,Saturday,8
86.0,129,Saturday,9
24.0,130,Saturday,10
4.0,131,Saturday,11
0.0,132,Saturday,12
-0.0,133,Saturday,13
0.0,134,Saturday,14
-0.0,135,Saturday,15
84.0,136,Saturday,16
40.0,137,Saturday,17
15.0,138,Saturday,18
5.0,139,Saturday,19
2.0,140,Saturday,20
0.0,141,Saturday,21
0.0,142,Saturday,22
0.0,143,Saturday,23
69.0,144,Sunday,0
54.0,145,Sunday,1
23.0,146,Sunday,2
11.0,147,Sunday,3
30.0,148,Sunday,4
61.0,149,Sunday,5
12.0,150,Sunday,6
30.0,151,Sunday,7
65.0,152,Sunday,8
119.0,153,Sunday,9
184.0,154,Sunday,10
238.0,155,Sunday,11
260.0,156,Sunday,12
238.0,157,Sunday,13
202.0,158,Sunday,14
166.0,159,Sunday,15
300.0,160,Sunday,16
358.0,161,Sunday,17
397.0,162,Sunday,18
411.0,163,Sunday,19
397.0,164,Sunday,20
357.0,165,Sunday,21
301.0,166,Sunday,22
189.0,167,Sunday,23
100.0,168,Monday,0
77.0,169,Monday,1
52.0,170,Monday,2
21.0,171,Monday,3
10.0,172,Monday,4
29.0,173,Monday,5
65.0,174,Monday,6
93.0,175,Monday,7
51.0,176,Monday,8
91.0,177,Monday,9
141.0,178,Monday,10
184.0,179,Monday,11
201.0,180,Monday,12
184.0,181,Monday,13
156.0,182,Monday,14
128.0,183,Monday,15
241.0,184,Monday,16
270.0,185,Monday,17
280.0,186,Monday,18
270.0,187,Monday,19
240.0,188,Monday,20
198.0,189,Monday,21
151.0,190,Monday,22
85.0,191,Monday,23
105.0,192,Tuesday,0
81.0,193,Tuesday,1
54.0,194,Tuesday,2
20.0,195,Tuesday,3
11.0,196,Tuesday,4
30.0,197,Tuesday,5
67.0,198,Tuesday,6
98.0,199,Tuesday,7
45.0,200,Tuesday,8
83.0,201,Tuesday,9
128.0,202,Tuesday,10
165.0,203,Tuesday,11
180.0,204,Tuesday,12
165.0,205,Tuesday,13
140.0,206,Tuesday,14
116.0,207,Tuesday,15
230.0,208,Tuesday,16
240.0,209,Tuesday,17
230.0,210,Tuesday,18
201.0,211,Tuesday,19
163.0,212,Tuesday,20
120.0,213,Tuesday,21
81.0,214,Tuesday,22
40.0,215,Tuesday,23
100.0,216,Wednesday,0
77.0,217,Wednesday,1
52.0,218,Wednesday,2
20.0,219,Wednesday,3
10.0,220,Wednesday,4
29.0,221,Wednesday,5
64.0,222,Wednesday,6
93.0,223,Wednesday,7
59.0,224,Wednesday,8
99.0,225,Wednesday,9
135.0,226,Wednesday,10
150.0,227,Wednesday,11
135.0,228,Wednesday,12
99.0,229,Wednesday,13
65.0,230,Wednesday,14
41.0,231,Wednesday,15
224.0,232,Wednesday,16
250.0,233,Wednesday,17
261.0,234,Wednesday,18
251.0,235,Wednesday,19
224.0,236,Wednesday,20
184.0,237,Wednesday,21
141.0,238,Wednesday,22
80.0,239,Wednesday,23
80.0,240,Thursday,0
61.0,241,Thursday,1
24.0,242,Thursday,2
11.0,243,Thursday,3
33.0,244,Thursday,4
69.0,245,Thursday,5
14.0,246,Thursday,6
37.0,247,Thursday,7
77.0,248,Thursday,8
136.0,249,Thursday,9
198.0,250,Thursday,10
240.0,251,Thursday,11
240.0,252,Thursday,12
199.0,253,Thursday,13
150.0,254,Thursday,14
108.0,255,Thursday,15
288.0,256,Thursday,16
301.0,257,Thursday,17
288.0,258,Thursday,18
253.0,259,Thursday,19
204.0,260,Thursday,20
151.0,261,Thursday,21
102.0,262,Thursday,22
51.0,263,Thursday,23
60.0,264,Friday,0
47.0,265,Friday,1
21.0,266,Friday,2
10.0,267,Friday,3
26.0,268,Friday,4
52.0,269,Friday,5
16.0,270,Friday,6
38.0,271,Friday,7
79.0,272,Friday,8
133.0,273,Friday,9
181.0,274,Friday,10
200.0,275,Friday,11
181.0,276,Friday,12
132.0,277,Friday,13
87.0,278,Friday,14
54.0,279,Friday,15
341.0,280,Friday,16
324.0,281,Friday,17
280.0,282,Friday,18
220.0,283,Friday,19
157.0,284,Friday,20
100.0,285,Friday,21
59.0,286,Friday,22
25.0,287,Friday,23
60.0,288,Saturday,0
46.0,289,Saturday,1
21.0,290,Saturday,2
10.0,291,Saturday,3
27.0,292,Saturday,4
52.0,293,Saturday,5
186.0,294,Saturday,6
241.0,295,Saturday,7
186.0,296,Saturday,8
87.0,297,Saturday,9
24.0,298,Saturday,10
4.0,299,Saturday,11
0.0,300,Saturday,12
0.0,301,Saturday,13
0.0,302,Saturday,14
-0.0,303,Saturday,15
85.0,304,Saturday,16
39.0,305,Saturday,17
15.0,306,Saturday,18
5.0,307,Saturday,19
1.0,308,Saturday,20
1.0,309,Saturday,21
0.0,310,Saturday,22
0.0,311,Saturday,23
70.0,312,Sunday,0
54.0,313,Sunday,1
23.0,314,Sunday,2
10.0,315,Sunday,3
30.0,316,Sunday,4
60.0,317,Sunday,5
11.0,318,Sunday,6
30.0,319,Sunday,7
65.0,320,Sunday,8
120.0,321,Sunday,9
184.0,322,Sunday,10
239.0,323,Sunday,11
261.0,324,Sunday,12
239.0,325,Sunday,13
202.0,326,Sunday,14
166.0,327,Sunday,15
300.0,328,Sunday,16
358.0,329,Sunday,17
396.0,330,Sunday,18
410.0,331,Sunday,19
396.0,332,Sunday,20
357.0,333,Sunday,21
300.0,334,Sunday,22
189.0,335,Sunday,23
100.0,336,Monday,0
77.0,337,Monday,1
52.0,338,Monday,2
20.0,339,Monday,3
10.0,340,Monday,4
29.0,341,Monday,5
64.0,342,Monday,6
94.0,343,Monday,7
50.0,344,Monday,8
92.0,345,Monday,9
143.0,346,Monday,10
183.0,347,Monday,11
200.0,348,Monday,12
184.0,349,Monday,13
156.0,350,Monday,14
129.0,351,Monday,15
240.0,352,Monday,16
270.0,353,Monday,17
281.0,354,Monday,18
270.0,355,Monday,19
240.0,356,Monday,20
198.0,357,Monday,21
152.0,358,Monday,22
86.0,359,Monday,23
105.0,360,Tuesday,0
81.0,361,Tuesday,1
54.0,362,Tuesday,2
21.0,363,Tuesday,3
10.0,364,Tuesday,4
30.0,365,Tuesday,5
67.0,366,Tuesday,6
98.0,367,Tuesday,7
45.0,368,Tuesday,8
82.0,369,Tuesday,9
128.0,370,Tuesday,10
165.0,371,Tuesday,11
180.0,372,Tuesday,12
165.0,373,Tuesday,13
140.0,374,Tuesday,14
116.0,375,Tuesday,15
230.0,376,Tuesday,16
240.0,377,Tuesday,17
230.0,378,Tuesday,18
202.0,379,Tuesday,19
163.0,380,Tuesday,20
120.0,381,Tuesday,21
81.0,382,Tuesday,22
41.0,383,Tuesday,23
100.0,384,Wednesday,0
77.0,385,Wednesday,1
52.0,386,Wednesday,2
20.0,387,Wednesday,3
11.0,388,Wednesday,4
29.0,389,Wednesday,5
64.0,390,Wednesday,6
94.0,391,Wednesday,7
59.0,392,Wednesday,8
100.0,393,Wednesday,9
136.0,394,Wednesday,10
150.0,395,Wednesday,11
136.0,396,Wednesday,12
100.0,397,Wednesday,13
65.0,398,Wednesday,14
41.0,399,Wednesday,15
223.0,400,Wednesday,16
250.0,401,Wednesday,17
261.0,402,Wednesday,18
250.0,403,Wednesday,19
223.0,404,Wednesday,20
183.0,405,Wednesday,21
140.0,406,Wednesday,22
79.0,407,Wednesday,23
80.0,408,Thursday,0
61.0,409,Thursday,1
25.0,410,Thursday,2
10.0,411,Thursday,3
34.0,412,Thursday,4
69.0,413,Thursday,5
14.0,414,Thursday,6
36.0,415,Thursday,7
77.0,416,Thursday,8
136.0,417,Thursday,9
199.0,418,Thursday,10
240.0,419,Thursday,11
240.0,420,Thursday,12
198.0,421,Thursday,13
150.0,422,Thursday,14
108.0,423,Thursday,15
287.0,424,Thursday,16
300.0,425,Thursday,17
287.0,426,Thursday,18
253.0,427,Thursday,19
204.0,428,Thursday,20
150.0,429,Thursday,21
101.0,430,Thursday,22
50.0,431,Thursday,23
60.0,432,Friday,0
47.0,433,Friday,1
21.0,434,Friday,2
10.0,435,Friday,3
26.0,436,Friday,4
52.0,437,Friday,5
15.0,438,Friday,6
38.0,439,Friday,7
79.0,440,Friday,8
133.0,441,Friday,9
181.0,442,Friday,10
200.0,443,Friday,11
181.0,444,Friday,12
133.0,445,Friday,13
87.0,446,Friday,14
54.0,447,Friday,15
340.0,448,Friday,16
324.0,449,Friday,17
280.0,450,Friday,18
219.0,451,Friday,19
156.0,452,Friday,20
100.0,453,Friday,21
59.0,454,Friday,22
25.0,455,Friday,23
60.0,456,Saturday,0
46.0,457,Saturday,1
20.0,458,Saturday,2
10.0,459,Saturday,3
27.0,460,Saturday,4
52.0,461,Saturday,5
186.0,462,Saturday,6
240.0,463,Saturday,7
186.0,464,Saturday,8
86.0,465,Saturday,9
24.0,466,Saturday,10
5.0,467,Saturday,11
0.0,468,Saturday,12
-0.0,469,Saturday,13
0.0,470,Saturday,14
0.0,471,Saturday,15
85.0,472,Saturday,16
39.0,473,Saturday,17
15.0,474,Saturday,18
5.0,475,Saturday,19
2.0,476,Saturday,20
0.0,477,Saturday,21
-0.0,478,Saturday,22
0.0,479,Saturday,23
70.0,480,Sunday,0
54.0,481,Sunday,1
23.0,482,Sunday,2
10.0,483,Sunday,3
30.0,484,Sunday,4
61.0,485,Sunday,5
12.0,486,Sunday,6
30.0,487,Sunday,7
65.0,488,Sunday,8
120.0,489,Sunday,9
184.0,490,Sunday,10
239.0,491,Sunday,11
260.0,492,Sunday,12
238.0,493,Sunday,13
202.0,494,Sunday,14
167.0,495,Sunday,15
301.0,496,Sunday,16
357.0,497,Sunday,17
396.0,498,Sunday,18
411.0,499,Sunday,19
396.0,500,Sunday,20
358.0,501,Sunday,21
300.0,502,Sunday,22
189.0,503,Sunday,23
105.0,504,Monday,0
81.0,505,Monday,1
55.0,506,Monday,2
21.0,507,Monday,3
11.0,508,Monday,4
31.0,509,Monday,5
67.0,510,Monday,6
98.0,511,Monday,7
52.0,512,Monday,8
96.0,513,Monday,9
148.0,514,Monday,10
193.0,515,Monday,11
210.0,516,Monday,12
192.0,517,Monday,13
163.0,518,Monday,14
135.0,519,Monday,15
252.0,520,Monday,16
283.0,521,Monday,17
294.0,522,Monday,18
283.0,523,Monday,19
252.0,524,Monday,20
208.0,525,Monday,21
158.0,526,Monday,22
89.0,527,Monday,23
111.0,528,Tuesday,0
85.0,529,Tuesday,1
57.0,530,Tuesday,2
22.0,531,Tuesday,3
11.0,532,Tuesday,4
31.0,533,Tuesday,5
71.0,534,Tuesday,6
103.0,535,Tuesday,7
47.0,536,Tuesday,8
87.0,537,Tuesday,9
134.0,538,Tuesday,10
173.0,539,Tuesday,11
190.0,540,Tuesday,12
174.0,541,Tuesday,13
148.0,542,Tuesday,14
121.0,543,Tuesday,15
242.0,544,Tuesday,16
252.0,545,Tuesday,17
241.0,546,Tuesday,18
212.0,547,Tuesday,19
171.0,548,Tuesday,20
126.0,549,Tuesday,21
85.0,550,Tuesday,22
43.0,551,Tuesday,23
105.0,552,Wednesday,0
81.0,553,Wednesday,1
55.0,554,Wednesday,2
21.0,555,Wednesday,3
11.0,556,Wednesday,4
30.0,557,Wednesday,5
68.0,558,Wednesday,6
98.0,559,Wednesday,7
63.0,560,Wednesday,8
104.0,561,Wednesday,9
142.0,562,Wednesday,10
158.0,563,Wednesday,11
142.0,564,Wednesday,12
104.0,565,Wednesday,13
69.0,566,Wednesday,14
42.0,567,Wednesday,15
235.0,568,Wednesday,16
262.0,569,Wednesday,17
272.0,570,Wednesday,18
263.0,571,Wednesday,19
234.0,572,Wednesday,20
193.0,573,Wednesday,21
147.0,574,Wednesday,22
83.0,575,Wednesday,23
84.0,576,Thursday,0
64.0,577,Thursday,1
26.0,578,Thursday,2
11.0,579,Thursday,3
35.0,580,Thursday,4
72.0,581,Thursday,5
15.0,582,Thursday,6
38.0,583,Thursday,7
81.0,584,Thursday,8
143.0,585,Thursday,9
209.0,586,Thursday,10
253.0,587,Thursday,11
253.0,588,Thursday,12
209.0,589,Thursday,13
157.0,590,Thursday,14
114.0,591,Thursday,15
303.0,592,Thursday,16
316.0,593,Thursday,17
302.0,594,Thursday,18
266.0,595,Thursday,19
214.0,596,Thursday,20
158.0,597,Thursday,21
107.0,598,Thursday,22
54.0,599,Thursday,23
63.0,600,Friday,0
49.0,601,Friday,1
22.0,602,Friday,2
11.0,603,Friday,3
28.0,604,Friday,4
54.0,605,Friday,5
16.0,606,Friday,6
40.0,607,Friday,7
83.0,608,Friday,8
139.0,609,Friday,9
190.0,610,Friday,10
211.0,611,Friday,11
190.0,612,Friday,12
139.0,613,Friday,13
92.0,614,Friday,14
56.0,615,Friday,15
356.0,616,Friday,16
340.0,617,Friday,17
293.0,618,Friday,18
230.0,619,Friday,19
164.0,620,Friday,20
105.0,621,Friday,21
61.0,622,Friday,22
27.0,623,Friday,23
63.0,624,Saturday,0
49.0,625,Saturday,1
21.0,626,Saturday,2
10.0,627,Saturday,3
28.0,628,Saturday,4
55.0,629,Saturday,5
196.0,630,Saturday,6
252.0,631,Saturday,7
196.0,632,Saturday,8
91.0,633,Saturday,9
25.0,634,Saturday,10
4.0,635,Saturday,11
0.0,636,Saturday,12
-0.0,637,Saturday,13
-0.0,638,Saturday,14
-0.0,639,Saturday,15
89.0,640,Saturday,16
40.0,641,Saturday,17
16.0,642,Saturday,18
6.0,643,Saturday,19
2.0,644,Saturday,20
0.0,645,Saturday,21
0.0,646,Saturday,22
0.0,647,Saturday,23
74.0,648,Sunday,0
57.0,649,Sunday,1
24.0,650,Sunday,2
11.0,651,Sunday,3
32.0,652,Sunday,4
64.0,653,Sunday,5
12.0,654,Sunday,6
31.0,655,Sunday,7
68.0,656,Sunday,8
125.0,657,Sunday,9
193.0,658,Sunday,10
251.0,659,Sunday,11
273.0,660,Sunday,12
251.0,661,Sunday,13
212.0,662,Sunday,14
176.0,663,Sunday,15
315.0,664,Sunday,16
375.0,665,Sunday,17
416.0,666,Sunday,18
431.0,667,Sunday,19
416.0,668,Sunday,20
375.0,669,Sunday,21
315.0,670,Sunday,22
198.0,671,Sunday,23
100.0,672,Monday,0
77.0,673,Monday,1
52.0,674,Monday,2
20.0,675,Monday,3
11.0,676,Monday,4
28.0,677,Monday,5
64.0,678,Monday,6
93.0,679,Monday,7
50.0,680,Monday,8
91.0,681,Monday,9
141.0,682,Monday,10
183.0,683,Monday,11
200.0,684,Monday,12
183.0,685,Monday,13
155.0,686,Monday,14
128.0,687,Monday,15
240.0,688,Monday,16
269.0,689,Monday,17
280.0,690,Monday,18
269.0,691,Monday,19
241.0,692,Monday,20
198.0,693,Monday,21
151.0,694,Monday,22
85.0,695,Monday,23
105.0,696,Tuesday,0
81.0,697,Tuesday,1
55.0,698,Tuesday,2
21.0,699,Tuesday,3
11.0,700,Tuesday,4
30.0,701,Tuesday,5
67.0,702,Tuesday,6
98.0,703,Tuesday,7
45.0,704,Tuesday,8
83.0,705,Tuesday,9
128.0,706,Tuesday,10
166.0,707,Tuesday,11
180.0,708,Tuesday,12
166.0,709,Tuesday,13
141.0,710,Tuesday,14
116.0,711,Tuesday,15
230.0,712,Tuesday,16
241.0,713,Tuesday,17
231.0,714,Tuesday,18
203.0,715,Tuesday,19
163.0,716,Tuesday,20
121.0,717,Tuesday,21
82.0,718,Tuesday,22
41.0,719,Tuesday,23
100.0,720,Wednesday,0
77.0,721,Wednesday,1
52.0,722,Wednesday,2
20.0,723,Wednesday,3
10.0,724,Wednesday,4
29.0,725,Wednesday,5
64.0,726,Wednesday,6
93.0,727,Wednesday,7
59.0,728,Wednesday,8
100.0,729,Wednesday,9
136.0,730,Wednesday,10
151.0,731,Wednesday,11
136.0,732,Wednesday,12
100.0,733,Wednesday,13
66.0,734,Wednesday,14
41.0,735,Wednesday,15
223.0,736,Wednesday,16
250.0,737,Wednesday,17
260.0,738,Wednesday,18
251.0,739,Wednesday,19
224.0,740,Wednesday,20
184.0,741,Wednesday,21
140.0,742,Wednesday,22
79.0,743,Wednesday,23
80.0,744,Thursday,0
61.0,745,Thursday,1
25.0,746,Thursday,2
11.0,747,Thursday,3
33.0,748,Thursday,4
68.0,749,Thursday,5
14.0,750,Thursday,6
36.0,751,Thursday,7
78.0,752,Thursday,8
136.0,753,Thursday,9
199.0,754,Thursday,10
241.0,755,Thursday,11
240.0,756,Thursday,12
199.0,757,Thursday,13
150.0,758,Thursday,14
108.0,759,Thursday,15
288.0,760,Thursday,16
301.0,761,Thursday,17
288.0,762,Thursday,18
252.0,763,Thursday,19
204.0,764,Thursday,20
150.0,765,Thursday,21
102.0,766,Thursday,22
50.0,767,Thursday,23
59.0,768,Friday,0
47.0,769,Friday,1
21.0,770,Friday,2
10.0,771,Friday,3
27.0,772,Friday,4
53.0,773,Friday,5
16.0,774,Friday,6
38.0,775,Friday,7
79.0,776,Friday,8
133.0,777,Friday,9
181.0,778,Friday,10
201.0,779,Friday,11
181.0,780,Friday,12
133.0,781,Friday,13
87.0,782,Friday,14
54.0,783,Friday,15
340.0,784,Friday,16
324.0,785,Friday,17
280.0,786,Friday,18
219.0,787,Friday,19
155.0,788,Friday,20
101.0,789,Friday,21
59.0,790,Friday,22
25.0,791,Friday,23
60.0,792,Saturday,0
46.0,793,Saturday,1
21.0,794,Saturday,2
10.0,795,Saturday,3
27.0,796,Saturday,4
52.0,797,Saturday,5
187.0,798,Saturday,6
241.0,799,Saturday,7
187.0,800,Saturday,8
87.0,801,Saturday,9
24.0,802,Saturday,10
4.0,803,Saturday,11
0.0,804,Saturday,12
0.0,805,Saturday,13
0.0,806,Saturday,14
-0.0,807,Saturday,15
85.0,808,Saturday,16
39.0,809,Saturday,17
15.0,810,Saturday,18
5.0,811,Saturday,19
1.0,812,Saturday,20
-0.0,813,Saturday,21
-0.0,814,Saturday,22
-0.0,815,Saturday,23
70.0,816,Sunday,0
54.0,817,Sunday,1
23.0,818,Sunday,2
10.0,819,Sunday,3
30.0,820,Sunday,4
60.0,821,Sunday,5
11.0,822,Sunday,6
30.0,823,Sunday,7
65.0,824,Sunday,8
119.0,825,Sunday,9
183.0,826,Sunday,10
239.0,827,Sunday,11
260.0,828,Sunday,12
238.0,829,Sunday,13
202.0,830,Sunday,14
167.0,831,Sunday,15
301.0,832,Sunday,16
358.0,833,Sunday,17
396.0,834,Sunday,18
410.0,835,Sunday,19
397.0,836,Sunday,20
357.0,837,Sunday,21
301.0,838,Sunday,22
189.0,839,Sunday,23
85.0,840,Monday,0
65.0,841,Monday,1
44.0,842,Monday,2
17.0,843,Monday,3
8.0,844,Monday,4
25.0,845,Monday,5
54.0,846,Monday,6
80.0,847,Monday,7
43.0,848,Monday,8
78.0,849,Monday,9
120.0,850,Monday,10
156.0,851,Monday,11
170.0,852,Monday,12
156.0,853,Monday,13
132.0,854,Monday,14
110.0,855,Monday,15
204.0,856,Monday,16
229.0,857,Monday,17
238.0,858,Monday,18
229.0,859,Monday,19
204.0,860,Monday,20
168.0,861,Monday,21
128.0,862,Monday,22
73.0,863,Monday,23
89.0,864,Tuesday,0
69.0,865,Tuesday,1
46.0,866,Tuesday,2
18.0,867,Tuesday,3
9.0,868,Tuesday,4
25.0,869,Tuesday,5
57.0,870,Tuesday,6
83.0,871,Tuesday,7
38.0,872,Tuesday,8
70.0,873,Tuesday,9
109.0,874,Tuesday,10
140.0,875,Tuesday,11
154.0,876,Tuesday,12
141.0,877,Tuesday,13
120.0,878,Tuesday,14
99.0,879,Tuesday,15
196.0,880,Tuesday,16
204.0,881,Tuesday,17
196.0,882,Tuesday,18
172.0,883,Tuesday,19
138.0,884,Tuesday,20
102.0,885,Tuesday,21
69.0,886,Tuesday,22
34.0,887,Tuesday,23
85.0,888,Wednesday,0
65.0,889,Wednesday,1
44.0,890,Wednesday,2
17.0,891,Wednesday,3
9.0,892,Wednesday,4
25.0,893,Wednesday,5
54.0,894,Wednesday,6
79.0,895,Wednesday,7
51.0,896,Wednesday,8
85.0,897,Wednesday,9
115.0,898,Wednesday,10
128.0,899,Wednesday,11
115.0,900,Wednesday,12
84.0,901,Wednesday,13
55.0,902,Wednesday,14
34.0,903,Wednesday,15
190.0,904,Wednesday,16
213.0,905,Wednesday,17
222.0,906,Wednesday,18
213.0,907,Wednesday,19
190.0,908,Wednesday,20
157.0,909,Wednesday,21
120.0,910,Wednesday,22
68.0,911,Wednesday,23
68.0,912,Thursday,0
51.0,913,Thursday,1
21.0,914,Thursday,2
9.0,915,Thursday,3
28.0,916,Thursday,4
58.0,917,Thursday,5
12.0,918,Thursday,6
31.0,919,Thursday,7
66.0,920,Thursday,8
116.0,921,Thursday,9
169.0,922,Thursday,10
204.0,923,Thursday,11
204.0,924,Thursday,12
169.0,925,Thursday,13
127.0,926,Thursday,14
92.0,927,Thursday,15
244.0,928,Thursday,16
255.0,929,Thursday,17
244.0,930,Thursday,18
215.0,931,Thursday,19
173.0,932,Thursday,20
128.0,933,Thursday,21
86.0,934,Thursday,22
43.0,935,Thursday,23
50.0,936,Friday,0
40.0,937,Friday,1
17.0,938,Friday,2
9.0,939,Friday,3
23.0,940,Friday,4
45.0,941,Friday,5
13.0,942,Friday,6
32.0,943,Friday,7
68.0,944,Friday,8
113.0,945,Friday,9
154.0,946,Friday,10
171.0,947,Friday,11
154.0,948,Friday,12
113.0,949,Friday,13
74.0,950,Friday,14
45.0,951,Friday,15
289.0,952,Friday,16
276.0,953,Friday,17
238.0,954,Friday,18
187.0,955,Friday,19
132.0,956,Friday,20
85.0,957,Friday,21
49.0,958,Friday,22
21.0,959,Friday,23
51.0,960,Saturday,0
40.0,961,Saturday,1
17.0,962,Saturday,2
9.0,963,Saturday,3
23.0,964,Saturday,4
44.0,965,Saturday,5
158.0,966,Saturday,6
204.0,967,Saturday,7
158.0,968,Saturday,8
74.0,969,Saturday,9
20.0,970,Saturday,10
3.0,971,Saturday,11
0.0,972,Saturday,12
0.0,973,Saturday,13
0.0,974,Saturday,14
-0.0,975,Saturday,15
72.0,976,Saturday,16
33.0,977,Saturday,17
12.0,978,Saturday,18
4.0,979,Saturday,19
1.0,980,Saturday,20
0.0,981,Saturday,21
0.0,982,Saturday,22
-0.0,983,Saturday,23
60.0,984,Sunday,0
46.0,985,Sunday,1
19.0,986,Sunday,2
9.0,987,Sunday,3
26.0,988,Sunday,4
51.0,989,Sunday,5
10.0,990,Sunday,6
25.0,991,Sunday,7
55.0,992,Sunday,8
101.0,993,Sunday,9
156.0,994,Sunday,10
203.0,995,Sunday,11
221.0,996,Sunday,12
203.0,997,Sunday,13
172.0,998,Sunday,14
142.0,999,Sunday,15
256.0,1000,Sunday,16
304.0,1001,Sunday,17
337.0,1002,Sunday,18
349.0,1003,Sunday,19
337.0,1004,Sunday,20
304.0,1005,Sunday,21
255.0,1006,Sunday,22
160.0,1007,Sunday,23
100.0,1008,Monday,0
77.0,1009,Monday,1
52.0,1010,Monday,2
20.0,1011,Monday,3
10.0,1012,Monday,4
29.0,1013,Monday,5
64.0,1014,Monday,6
94.0,1015,Monday,7
50.0,1016,Monday,8
92.0,1017,Monday,9
141.0,1018,Monday,10
184.0,1019,Monday,11
200.0,1020,Monday,12
183.0,1021,Monday,13
156.0,1022,Monday,14
128.0,1023,Monday,15
240.0,1024,Monday,16
270.0,1025,Monday,17
281.0,1026,Monday,18
270.0,1027,Monday,19
239.0,1028,Monday,20
198.0,1029,Monday,21
152.0,1030,Monday,22
86.0,1031,Monday,23
105.0,1032,Tuesday,0
81.0,1033,Tuesday,1
54.0,1034,Tuesday,2
20.0,1035,Tuesday,3
11.0,1036,Tuesday,4
30.0,1037,Tuesday,5
67.0,1038,Tuesday,6
98.0,1039,Tuesday,7
45.0,1040,Tuesday,8
82.0,1041,Tuesday,9
127.0,1042,Tuesday,10
166.0,1043,Tuesday,11
180.0,1044,Tuesday,12
166.0,1045,Tuesday,13
140.0,1046,Tuesday,14
116.0,1047,Tuesday,15
229.0,1048,Tuesday,16
240.0,1049,Tuesday,17
230.0,1050,Tuesday,18
202.0,1051,Tuesday,19
163.0,1052,Tuesday,20
120.0,1053,Tuesday,21
81.0,1054,Tuesday,22
40.0,1055,Tuesday,23
100.0,1056,Wednesday,0
77.0,1057,Wednesday,1
52.0,1058,Wednesday,2
20.0,1059,Wednesday,3
10.0,1060,Wednesday,4
29.0,1061,Wednesday,5
64.0,1062,Wednesday,6
93.0,1063,Wednesday,7
59.0,1064,Wednesday,8
100.0,1065,Wednesday,9
